Carimbo de data/hora,INEP DA ESCOLA,NOME DO FUNCIONÁRIO,CPF,E-MAIL,CARGO DE OCUPAÇÃO
06/05/2025 08:34:19,78901234,João Paulo Vieira,208.749.613-50,joao.vieira@escola.edu.br,Professor(a) Regular / Especialista
06/05/2025 08:34:44,78901234,Karen Lopes Farias,318.672.904-17,karen.farias@escola.edu.br,Professor(a) Regular / Especialista
06/05/2025 08:36:12,34567890,Lucas Mendes Brito,659.814.270-38,lucas.brito@escola.edu.br,Professor(a) Regular / Especialista
06/05/2025 08:36:36,34567890,Mariana Castro Pires,514.290.836-00,mariana.pires@escola.edu.br,Professor(a) Regular / Especialista
06/05/2025 08:43:53,34567890,Nelson Duarte Fonseca,983.142.570-66,nelson.fonseca@escola.edu.br,Professor(a) Regular / Especialista
06/05/2025 08:44:18,34567890,Olivia Ramos Goulart,347.601.295-09,olivia.goulart@escola.edu.br,Professor(a) Regular / Especialista
06/05/2025 08:45:40,45678901,Pedro Henrique Sales,102.486.937-24,pedro.sales@escola.edu.br,Professor(a) Regular / Especialista
06/05/2025 08:46:09,45678901,Queila Andrade Moraes,872.059.431-80,queila.moraes@escola.edu.br,Professor(a) Regular / Especialista
06/05/2025 08:47:36,56789012,Rafael Teixeira Cunha,690.213.748-52,rafael.cunha@escola.edu.br,Professor(a) Regular / Especialista
06/05/2025 08:48:00,56789012,Sabrina Lopes Ventura,731.594.806-34,sabrina.ventura@escola.edu.br,Professor(a) Regular / Especialista
06/05/2025 08:48:23,56789012,Tiago Almeida Castro,564.207.391-08,tiago.castro@escola.edu.br,Professor(a) Regular / Especialista
06/05/2025 08:48:46,56789012,Úrsula Pereira Campos,208.637.159-73,ursula.campos@escola.edu.br,Professor(a) Regular / Especialista
06/05/2025 08:49:10,56789012,Victor Hugo Lima,375.198.042-11,victor.lima@escola.edu.br,Professor(a) Regular / Especialista
06/05/2025 08:49:40,89012345,Wagner Souza Prado,746.105.982-25,wagner.prado@escola.edu.br,Professor(a) Regular / Especialista
06/05/2025 08:50:04,89012345,Xênia Beatriz Oliveira,184.390.617-66,xenia.oliveira@escola.edu.br,Professor(a) Regular / Especialista
06/05/2025 08:50:30,89012345,Yara Cristina Barbosa,693.804.152-49,yara.barbosa@escola.edu.br,Professor(a) Regular / Especialista
06/05/2025 08:50:59,89012345,Zeca Martins Lopes,317.826.904-71,zeca.lopes@escola.edu.br,Professor(a) Regular / Especialista
06/05/2025 08:51:24,89012345,Amanda Cunha Rocha,950.481.720-03,amanda.rocha@escola.edu.br,Professor(a) Regular / Especialista
06/05/2025 08:52:13,89012345,Breno Assis Machado,234.157.698-60,breno.machado@escola.edu.br,Professor(a) Regular / Especialista
06/05/2025 08:53:08,90123456,Camila Diniz Lacerda,721.039.564-92,camila.lacerda@escola.edu.br,Professor(a) Regular / Especialista
06/05/2025 08:53:48,90123456,Diego Moura Carvalho,408.692.135-07,diego.carvalho@escola.edu.br,Professor(a) Regular / Especialista
08/05/2025 15:33:23,12345678,Ana Cláudia Souza,054.327.154-06,ana.souza@email.com,Diretor(a) / Gestor(a) Escolar
08/05/2025 15:33:54,12345678,Marcos Antônio Lima,218.946.230-88,marcos.lima@email.com,Vice Diretor(a) de Escola
08/05/2025 15:34:48,2345678,Beatriz Ferreira Gomes,369.510.789-00,beatriz.gomes@email.com,Coordenador(a)
08/05/2025 15:35:20,23456789,Lucas Henrique Silva,482.631.850-47,lucas.silva@email.com,Coordenador(a)
08/05/2025 15:37:00,34567890,Camila Rocha Almeida,157.982.934-20,camila.almeida@email.com,Coordenador(a) AEE
08/05/2025 15:38:27,45678901,Rafael Pereira Monteiro,824.160.783-33,rafael.monteiro@email.com,Professor(a) AEE
08/05/2025 15:39:06,34567890,Juliana Ribeiro Torres,375.942.610-27,juliana.torres@email.com,Professor(a) AEE
08/05/2025 15:39:44,56789012,Fernanda Lima Castro,286.419.735-84,fernanda.castro@email.com,Professor(a) AEE
08/05/2025 15:40:38,567890123,Thiago Oliveira Martins,653.728.190-98,thiago.martins@email.com,Coordenador(a)
08/05/2025 15:41:05,56789012,Daniela Costa Barros,492.185.043-60,daniela.barros@email.com,Coordenador(a) AEE
08/05/2025 15:41:34,67890123,André Luiz Correia,348.971.028-50,andre.correia@email.com,Professor(a) AEE
08/05/2025 15:41:59,67890123,Larissa Fernandes Brito,759.263.918-15,larissa.brito@email.com,Professor(a) AEE
08/05/2025 15:42:27,78901234,Fábio Mendes Araújo,108.632.045-78,fabio.araujo@email.com,Coordenador(a)
08/05/2025 15:42:58,Priscila Nunes Santana,291.875.604-01,priscila.santana@email.com,	priscila.santana@email.com,Coordenador(a) AEE
08/05/2025 15:43:31,89012345,Jorge Henrique Duarte,601.284.390-94,jorge.duarte@email.com,Professor(a) AEE
08/05/2025 15:44:00,89012345,Marina Lopes Cardoso,932.170.246-76,marina.cardoso@email.com,Professor(a) AEE
08/05/2025 15:44:30,90123456,Vinícius Tavares Lima,857.460.183-00,vinicius.lima@email.com,Professor(a) AEE
08/05/2025 15:44:59,90123456,Amanda Vieira Teixeira,416.258.709-62,amanda.teixeira@email.com,Professor(a) AEE
08/05/2025 15:45:37,78901234,Carlos Eduardo Martins,173.609.482-55,carlos.martins@email.com,Professor(a) AEE
08/05/2025 15:46:00,45678901,Sabrina Oliveira Ramos,748.915.360-81,sabrina.ramos@email.com,Professor(a) AEE
